State,Location,Latitude,Longitude,Index
Alaska,AK,66.160507,-153.369141,125.8
Alabama,AL,32.318230,-86.902298,88.1
Arkansas,AR,34.799999,-92.199997,88.8
Arizona,AZ,34.048927,-111.093735,102.1
California,CA,36.778259,-119.417931,137.5
Colorado,CO,39.113014,-105.35887,106.3
Connecticut,CT,41.599998,-72.699997,120.4
"Washington, DC",DC,38.907200,77.036900,154.7
Delaware,DE,39.000000,-75.500000,105.3
Florida,FL,27.994402,-81.760254,100.7
Georgia,GA,33.247875,-83.441162,89.7
Hawaii,HI,19.741755,-155.844437,187.6
Iowa,IA,42.032974,-93.581543,90.4
Idaho,ID,44.068203,-114.742043,99.0
Illinois,IL,40.000000,-89.000000,94.4
Indiana,IN,40.273502,-86.126976,89.8
Kansas,KS,38.500000,-98.000000,86.8
Kentucky,KY,37.839333,-84.270020,94.5
Louisiana,LA,30.391830,-92.329102,93.2
Massachusetts,MA,42.407211,-71.382439,133.2
Maryland,MD,39.045753,-76.641273,124.4
Maine,ME,45.367584,-68.972168,116.6
Michigan,MI,44.182205,-84.506836,91.9
Minnesota,MN,46.392410,-94.636230,101.6
Missouri,MO,38.573936,-92.603760,90.4
Mississippi,MS,33.000000,-90.000000,84.6
Montana,MT,46.965260,-109.533691,100.0
North Carolina,NC,35.782169,-80.793457,96.9
North Dakota,ND,47.650589,-100.437012,97.8
Nebraska,NE,41.500000,-100.000000,93.9
New Hampshire,NH,44.000000,-71.500000,108.6
New Jersey,NJ,39.833851,-74.871826,114.7
New Mexico,NM,34.307144,-106.018166,90.9
Nevada,NV,39.876019,-117.224121,106.4
New York,NY,43.000000,-75.000000,145.0
Ohio,OH,40.367474,-82.996216,91.6
Oklahoma,OK,36.084621,-96.921387,87.9
Oregon,OR,44.000000,120.500000,131.6
Pennsylvania,PA,41.203323,-77.194527,104.3
Rhode Island,RI,41.700001,-71.500000,118.2
South Carolina,SC,33.836082,-81.163727,94.2
South Dakota,SD,44.500000,-100.000000,98.8
Tennessee,TN,35.860119,-86.660156,88.5
Texas,TX,31.000000,-100.000000,92.3
Utah,UT,39.419220,-111.950684,97.9
Virginia,VA,37.926868,-78.024902,101.5
Vermont,VT,44.000000,-72.699997,116.3
Washington,WA,47.751076,-120.740135,111.3
Wisconsin,WI,44.500000,-89.500000,96.9
West Virginia,WV,39.000000,-80.500000,93.1
Wyoming,WY,43.075970,-107.290283,95.7