State,Location,Latitude,Longitude,
Alaska,AK,66.160507,-153.369141,
Alabama,AL,32.318230,-86.902298,
Arkansas,AR,34.799999,-92.199997,
Arizona,AZ,34.048927,-111.093735,
California,CA,36.778259,-119.417931,
Colorado,CO,39.113014,-105.35887,
Connecticut,CT,41.599998,-72.699997,
"Washington, DC",DC,38.907200,77.036900,
Delaware,DE,39.000000,-75.500000,
Florida,FL,27.994402,-81.760254,
Georgia,GA,33.247875,-83.441162,
Hawaii,HI,19.741755,-155.844437,
Iowa,IA,42.032974,-93.581543,
Idaho,ID,44.068203,-114.742043,
Illinois,IL,40.000000,-89.000000,
Indiana,IN,40.273502,-86.126976,
Kansas,KS,38.500000,-98.000000,
Kentucky,KY,37.839333,-84.270020,
Louisiana,LA,30.391830,-92.329102,
Massachusetts,MA,42.407211,-71.382439,
Maryland,MD,39.045753,-76.641273,
Maine,ME,45.367584,-68.972168,
Michigan,MI,44.182205,-84.506836,
Minnesota,MN,46.392410,-94.636230,
Missouri,MO,38.573936,-92.603760,
Mississippi,MS,33.000000,-90.000000,
Montana,MT,46.965260,-109.533691,
North Carolina,NC,35.782169,-80.793457,
North Dakota,ND,47.650589,-100.437012,
Nebraska,NE,41.500000,-100.000000,
New Hampshire,NH,44.000000,-71.500000,
New Jersey,NJ,39.833851,-74.871826,
New Mexico,NM,34.307144,-106.018166,
Nevada,NV,39.876019,-117.224121,
New York,NY,43.000000,-75.000000,
Ohio,OH,40.367474,-82.996216,
Oklahoma,OK,36.084621,-96.921387,
Oregon,OR,44.000000,120.500000,
Pennsylvania,PA,41.203323,-77.194527,
Rhode Island,RI,41.700001,-71.500000,
South Carolina,SC,33.836082,-81.163727,
South Dakota,SD,44.500000,-100.000000,
Tennessee,TN,35.860119,-86.660156,
Texas,TX,31.000000,-100.000000,
Utah,UT,39.419220,-111.950684,
Virginia,VA,37.926868,-78.024902,
Vermont,VT,44.000000,-72.699997,
Washington,WA,47.751076,-120.740135,
Wisconsin,WI,44.500000,-89.500000,
West Virginia,WV,39.000000,-80.500000,
Wyoming,WY,43.075970,-107.290283,